breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,P450dep,P450ac,P450top,P450top_pct,CARdep,CARac,CARtop,CARtop_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MARdep,MARac,MARtop,MARtop_pct,MGTe_F1dep,MGTe_F1ac,MGTe_F1top,MGTe_F1top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,HORA 5989,10/21,LA PORTE TE DA HORA,G,HORA 3150,18,"HORA 5989 10/21 LA PORTE TE DA HORA G HORA 3150 31.83 74 4% -0.270 44 0,1% 4.95 65 3% 0.21 66 21% 0.32 61 0,1% 32.03 44 0,5% 29.54 48 4%",31.83,74,4%,4.0,-0.27,44,"0,1%",0.1,4.95,65,3%,3.0,0.21,66,21%,21.0,0.32,61,"0,1%",0.1,32.03,44,"0,5%",0.5,29.54,48,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,FGP A2101,07/21,HEROICO FIV GUADALUPE,G,REMP 816,18,"FGP A2101 07/21 HEROICO FIV GUADALUPE G REMP 816 32.04 67 3% -0.111 42 5% 4.40 65 5% 1.10 65 1% 0.16 61 3% 31.88 42 0,5% 31.16 46 3%",32.04,67,3%,3.0,-0.111,42,5%,5.0,4.4,65,5%,5.0,1.1,65,1%,1.0,0.16,61,3%,3.0,31.88,42,"0,5%",0.5,31.16,46,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,CANO 4730,10/21,DEPORTE,G,REM A1936,18,"CANO 4730 10/21 DEPORTE G REM A1936 30.25 68 5% -0.023 43 53% 4.61 62 4% 1.44 61 0,1% 0.12 57 7% 31.82 43 0,5% 27.26 46 7%",30.25,68,5%,5.0,-0.023,43,53%,53.0,4.61,62,4%,4.0,1.44,61,"0,1%",0.1,0.12,57,7%,7.0,31.82,43,"0,5%",0.5,27.26,46,7%,7.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,EAO B8074,10/21,B8074 FIV DA EAO (ELE,G,SINO 1730,18,"EAO B8074 10/21 B8074 FIV DA EAO (ELE G SINO 1730 37.34 69 1% -0.140 51 2% 6.29 67 0,5% 0.61 66 6% 0.16 64 3% 31.74 51 0,5% 35.91 46 0,5%",37.34,69,1%,1.0,-0.14,51,2%,2.0,6.29,67,"0,5%",0.5,0.61,66,6%,6.0,0.16,64,3%,3.0,31.74,51,"0,5%",0.5,35.91,46,"0,5%",0.5,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,REMP 1749,12/21,REM LANCELOT FIV GEN.,G,REMP 816,18,"REMP 1749 12/21 REM LANCELOT FIV GEN. G REMP 816 37.96 69 1% -0.021 51 54% 4.92 66 3% 1.27 65 0,5% 0.12 64 7% 31.74 51 0,5% 34.47 49 1%",37.96,69,1%,1.0,-0.021,51,54%,54.0,4.92,66,3%,3.0,1.27,65,"0,5%",0.5,0.12,64,7%,7.0,31.74,51,"0,5%",0.5,34.47,49,1%,1.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,MNS 9278,07/18,TROOPER DA ALO BRASIL,G,REMC 5326,18,"MNS 9278 07/18 TROOPER DA ALO BRASIL G REMC 5326 28.63 88 6% -0.072 57 22% 6.79 83 0,1% 1.08 81 1% 0.06 74 20% 31.72 57 0,5% 29.45 56 4%",28.63,88,6%,6.0,-0.072,57,22%,22.0,6.79,83,"0,1%",0.1,1.08,81,1%,1.0,0.06,74,20%,20.0,31.72,57,"0,5%",0.5,29.45,56,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,EAO B5278,09/20,B5278 FIV DA EAO,G,ACNP 3146,18,"EAO B5278 09/20 B5278 FIV DA EAO G ACNP 3146 37.34 77 1% -0.200 44 0,1% 3.31 64 11% 1.01 63 2% 0.09 60 11% 31.60 44 0,5% 32.45 46 2%",37.34,77,1%,1.0,-0.2,44,"0,1%",0.1,3.31,64,11%,11.0,1.01,63,2%,2.0,0.09,60,11%,11.0,31.6,44,"0,5%",0.5,32.45,46,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,FANO 2729,01/20,DOLVE DA AGRONOVA,G,REM A7,18,"FANO 2729 01/20 DOLVE DA AGRONOVA G REM A7 31.71 88 4% -0.008 66 62% 5.79 86 1% 1.16 84 1% 0.17 84 3% 31.53 66 0,5% 33.12 53 2%",31.71,88,4%,4.0,-0.008,66,62%,62.0,5.79,86,1%,1.0,1.16,84,1%,1.0,0.17,84,3%,3.0,31.53,66,"0,5%",0.5,33.12,53,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,REM 12045,08/21,REM LEGACY GEN.ADT,G,REM A1576,18,"REM 12045 08/21 REM LEGACY GEN.ADT G REM A1576 40.35 72 0,5% -0.109 51 5% 6.61 66 0,5% 0.76 65 4% 0.07 43 17% 31.52 43 0,5% 33.60 44 2%",40.35,72,"0,5%",0.5,-0.109,51,5%,5.0,6.61,66,"0,5%",0.5,0.76,65,4%,4.0,0.07,43,17%,17.0,31.52,43,"0,5%",0.5,33.6,44,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,EAO B5221,09/20,DEMOLIDOR FIV DA EAO,G,REM A1936,18,"EAO B5221 09/20 DEMOLIDOR FIV DA EAO G REM A1936 29.85 93 5% -0.091 73 11% 3.86 90 8% 1.10 88 1% 0.23 87 0,5% 31.32 73 0,5% 31.11 48 3%",29.85,93,5%,5.0,-0.091,73,11%,11.0,3.86,90,8%,8.0,1.1,88,1%,1.0,0.23,87,"0,5%",0.5,31.32,73,"0,5%",0.5,31.11,48,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
